Pressure,Temperature
101000,25
100898,24
100094,22
99456,21
98325,21
98144,20
96520,17
95367,17
94615,15
94449,15
93757,14
91848,11
90150,11
88983,11
87865,10
87482,8
85589,8
83908,6
82273,3
82079,2
80451,-1
78807,-1
77753,-4
77228,-7
75388,-7
73603,-9
72009,-11
70093,-11
68186,-13
66487,-13
66214,-13
65991,-15
65808,-16
64700,-19
63333,-19
62827,-22
62251,-23
61926,-23
60427,-25
60313,-27
60182,-28
59956,-28
59418,-29
57816,-31
57383,-32
57170,-35
56179,-37
55018,-38
54556,-40
53299,-41
52466,-41