Time,Percentage,Status
12:00,100,OK
12:05,99,OK
12:10,97,OK
12:15,96,OK
12:20,95,OK
12:25,93,OK
12:30,93,OK
12:35,92,OK
12:40,90,OK
12:45,88,OK
12:50,87,OK
12:55,86,OK
13:00,85,OK
13:05,83,OK
13:10,83,OK
13:15,80,OK
13:20,79,OK
13:25,78,OK
13:30,77,OK
13:35,76,OK
13:40,75,OK
13:45,74,OK
13:50,73,OK
13:55,70,OK
14:00,69,OK
14:05,67,OK
14:10,66,OK
14:15,64,OK
14:20,63,OK
14:25,62,OK
14:30,61,OK
14:35,60,OK
14:40,58,OK
14:45,57,OK
14:50,56,OK
14:55,54,OK
15:00,51,OK
15:05,50,OK
15:10,49,OK
15:15,0,ERROR
15:20,0,ERROR
15:25,0,ERROR
15:30,0,ERROR
15:35,0,ERROR
15:40,0,ERROR
15:45,0,ERROR
15:50,0,ERROR
15:55,0,ERROR
16:00,0,ERROR
16:05,0,ERROR
16:10,0,ERROR